Table Name,State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
B0118,`08,`000,STATE - RAJASTHAN,`00,`000,`0000,Total,9017944,7594737,1423207,4469555,3664793,804762,4548389,3929944,618445,2307752,1046813,1260939,1825830,749381,1076449,481922,297432,184490
B0118,`08,`000,STATE - RAJASTHAN,`01,`000,`0000,"Crop and animal production, hunting and related service activities",450766,201572,249194,391263,161879,229384,59503,39693,19810,408728,76106,332622,390864,71124,319740,17864,4982,12882
B0118,`08,`000,STATE - RAJASTHAN,`01,`011,`0000,Growing of non-perennial crops,12876,10547,2329,5644,4328,1316,7232,6219,1013,9562,4051,5511,8147,3295,4852,1415,756,659
B0118,`08,`000,STATE - RAJASTHAN,`01,`011,`0111,"Growing of cereals (except rice), leguminous crops and oil seeds",12061,9911,2150,5195,3987,1208,6866,5924,942,9085,3883,5202,7777,3161,4616,1308,722,586
B0118,`08,`000,STATE - RAJASTHAN,`01,`011,`0112,Growing of rice,79,71,8,48,42,6,31,29,2,13,4,9,11,2,9,2,2,0
B0118,`08,`000,STATE - RAJASTHAN,`01,`011,`0113,"Growing of vegetables and melons, roots and tubers",576,440,136,304,221,83,272,219,53,319,98,221,263,82,181,56,16,40
B0118,`08,`000,STATE - RAJASTHAN,`01,`011,`0114,Growing of sugar cane,11,11,0,6,6,0,5,5,0,0,0,0,0,0,0,0,0,0
B0118,`08,`000,STATE - RAJASTHAN,`01,`011,`0116,Growing of fibre crops,53,49,4,41,37,4,12,12,0,76,41,35,66,33,33,10,8,2
B0118,`08,`000,STATE - RAJASTHAN,`01,`011,`0119,Growing of other non-perennial crop,96,65,31,50,35,15,46,30,16,69,25,44,30,17,13,39,8,31
B0118,`08,`000,STATE - RAJASTHAN,`01,`012,`0000,Growing of perennial crops,1191,984,207,571,448,123,620,536,84,668,280,388,556,232,324,112,48,64
B0118,`08,`000,STATE - RAJASTHAN,`01,`012,`0122,Growing of tropical and subtropical fruits,13,13,0,1,1,0,12,12,0,12,12,0,12,12,0,0,0,0
B0118,`08,`000,STATE - RAJASTHAN,`01,`012,`0123,Growing of citrus fruits,25,23,2,21,19,2,4,4,0,6,6,0,6,6,0,0,0,0
B0118,`08,`000,STATE - RAJASTHAN,`01,`012,`0124,Growing of pome fruits and stone fruits,2,0,2,2,0,2,0,0,0,6,6,0,0,0,0,6,6,0
B0118,`08,`000,STATE - RAJASTHAN,`01,`012,`0125,Growing of other tree and bush fruits and nuts,58,44,14,29,27,2,29,17,12,29,11,18,27,11,16,2,0,2
B0118,`08,`000,STATE - RAJASTHAN,`01,`012,`0126,Growing of oleaginous fruits,49,44,5,17,17,0,32,27,5,6,0,6,0,0,0,6,0,6
B0118,`08,`000,STATE - RAJASTHAN,`01,`012,`0127,Growing of beverage crops,229,225,4,82,82,0,147,143,4,72,28,44,64,28,36,8,0,8
B0118,`08,`000,STATE - RAJASTHAN,`01,`012,`0128,"Growing of spices, aromatic, drug and pharmaceutical crops",132,88,44,49,29,20,83,59,24,64,25,39,64,25,39,0,0,0
B0118,`08,`000,STATE - RAJASTHAN,`01,`012,`0129,Growing of other perennial crops,683,547,136,370,273,97,313,274,39,473,192,281,383,150,233,90,42,48
